,state_code,districts_under1mbps_contractexpiry_sample,median_district_meeting1mbps_internetcost_monthlypermbps,median_district_under1mbps_contractexpiry_internetcost_monthlyp,districts_under1mbps_contractexpiry_needstatemedian_sample,pctdistricts_under1mbps_contractexpiry_needstatemedian
0,MN,59,1.9610467571914382276216,2.13350000000000000000,15,0.26315789473684210526
1,NY,251,0.80541279976241740292,2.6103816877712809842851,143,0.59583333333333333333
2,OH,172,0.77040000000000000000,4.0916700000000000000000,112,0.76712328767123287671
3,PA,128,0.5595707988380537400228,1.8468623541387136706036,84,0.65625000000000000000
4,TX,307,0.703000000000000000000,8.1939800000000000000000,262,0.85901639344262295082
