,district_id,state_code,state_network,meeting_2018_goal_oversub,total_mrc,bia_cost,bia_pct,wan_cost,wan_pct,upstream_cost,upstream_pct,isp_cost,isp_pct
0,967048,TN,False,False,63800.00000000000000000000,23000.00000000000000000000,0.36050156739811912226,40800.00000000000000000000,0.63949843260188087774,0,0E-24,0,0E-24
1,882924,CA,False,True,5111.1389186618234782112000,1915.7100000000000000000000,0.3748107868884853153487,3099.4400000000000000000000,0.6064088746802213935327,0,0E-22,0,0E-22
2,920029,MI,False,True,529.22996293553325924264,0,0E-20,0,0E-20,214.28571428571428572500,0.40490094910181215541,314.94424864981897351764,0.59509905089818784459
3,970133,TX,False,True,31323.88683886838868406885,1125.00000000000000000000,0.03591508313725736581,25080.00000000000000015675,0.80066692007325754173,1293.33333333333333339800,0.04128904372520254203,3825.55350553505535051410,0.12212895306428255044
4,919542,MI,False,False,3545.9200000000000000000000,1354.9200000000000000000000,0.3821067593177511054959,2191.00000000000000000000,0.6178932406822488945041,0,0E-22,0,0E-22
5,901462,IL,False,False,4887.5200000000000000000000,4887.5200000000000000000000,1.0000000000000000000000,0,0E-22,0,0E-22,0,0E-22
6,929597,NC,True,False,29997.0780000000000000036903,8065.99999999999999991934,0.2688928568309219984666,21931.0780000000000000843503,0.7311071431690780015334,0,0E-24,0,0E-24
7,951261,OK,False,True,2928.00000000000000000000,2928.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
8,894302,IA,True,False,1180.00000000000000000000,590.00000000000000000000,0.50000000000000000000,590.00000000000000000000,0.50000000000000000000,0,0E-20,0,0E-20
9,984870,WY,True,True,4191.54947443166535767425,0,0E-20,0,0E-20,4182.00000000000000000000,0.99772173166750938172,9.54947443166535767425,0.00227826833249061828
10,933664,ND,True,True,40.49871680530023124160,0,0E-20,0,0E-20,0,0E-20,40.49871680530023124160,1.00000000000000000000
11,884000,CA,False,False,9670.4788017803347702017025000000000,0,0E-31,6017.2600000000000000000000,0.6222297906172156303893501062521,1400.00000000000000000000,0.1447704946876322250567683877301,2166.6666666666700000000000000000000,0.2240495751118121215652241420400
12,924584,MO,True,True,37.7834532458323461710243,0,0E-22,0,0E-22,0,0E-22,12.6943235755996240787883,0.3359757376597083446386
13,969494,TX,False,True,924.00000000000000000000,924.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
14,922277,MN,False,True,1961.4882458754435509224616,0,0E-22,0,0E-22,993.3828571428571426982016,0.5064434412144511720895,960.75363865709295557126,0.4898085118161354327744
15,946667,NY,False,False,7560.8470000000000000000000,3010.00000000000000000000,0.3981035458064420560289,4550.8470000000000000000000,0.6018964541935579439711,0,0E-22,0,0E-22
16,917483,ME,True,True,3384.87488805730382066434,0,0E-20,1450.39999999999999996374,0.42849441942961574909,1785.00000000000000011060,0.52734593124783791520,149.47488805730382059000,0.04415964932254633571
17,941720,NJ,False,False,725.00000000000000000000,725.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
18,946761,NY,False,True,4300.22888314781556395140,0,0E-20,1014.00000000000000000000,0.23580140210065764603,1900.00000000000000000000,0.44183694673693247284,1386.22888314781556395140,0.32236165116240988112
19,882674,AK,False,False,14500.00000000000000000000,14500.00000000000000000000,1.00000000000000000000,0,0E-24,0,0E-24,0,0E-24
20,951570,OK,False,True,1760.00000000000000000000,1760.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
21,882213,AL,True,False,16544.6400000000000000000000,7116.5900000000000000000000,0.4301447477853854783181,9428.0500000000000000000000,0.5698552522146145216819,0,0E-24,0,0E-24
22,882785,AR,True,True,20055.4081684914326590399135,0,0E-24,7642.50000000000000000000,0.3810692824495562821620,6750.3400000000000000000000,0.3365845234007900233862,995.36353098934066727500,0.0496306792974242363262
23,883701,CA,False,False,1383.7600000000000000000000,0,0E-22,0,0E-22,1383.7600000000000000000000,1.0000000000000000000000,0,0E-22
24,901762,IL,False,False,650.00000000000000000000,650.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
25,883913,CA,False,False,10007.7288458773169386523995,0,0E-24,3891.3600000000000000000000,0.3888354750541673025700,3811.500000000000000000000,0.3808556425437273019576,2250.00000000000000000000,0.2248262352678437437766
26,969889,TX,False,False,5396.9900000000000000000000,4096.9900000000000000000000,0.7591249937465142607268,1300.00000000000000000000,0.2408750062534857392732,0,0E-22,0,0E-22
27,911086,MA,False,False,1500.00000000000000000000,1500.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
28,946548,NY,False,True,616.51006013809488456750,0,0E-20,0,0E-20,596.00000000000000000000,0.96673199439194756502,20.51006013809488456750,0.03326800560805243498
29,946346,NY,False,True,1811.061066151904372994000,0,0E-21,1138.500000000000000000000,0.628637002516461413616,649.99999999999999997400,0.358905622868423292784,22.56106615190437302000,0.012457374615115293600
30,984083,WI,True,True,950.00000000000000000000,950.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
31,969619,TX,False,False,8700.00000000000000000000,3300.00000000000000000000,0.37931034482758620690,5400.00000000000000000000,0.62068965517241379310,0,0E-20,0,0E-20
32,980701,VT,False,True,3161.00000000000000000000,1945.00000000000000000000,0.61531161024992091110,1216.00000000000000000000,0.38468838975007908890,0,0E-20,0,0E-20
33,901677,IL,False,False,179.00000000000000000000,179.00000000000000000000,1.00000000000000000000,0,0E-20,0,0E-20,0,0E-20
