funding_year,state_code,district_id,num_students,old_total_bw,old_bw_per_student,new_total_bw,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,AZ,881428,2297,1000.0,435.35045711797994,2030.0,883.7614279494992,1030.0,1.03
2019,CA,881445,2225,600.0,269.66292134831457,1000.0,449.438202247191,400.0,0.6666666666666666
2019,CO,881930,26053,5000.0,191.91647794879668,11000.0,422.2162514873527,6000.0,1.2
2019,CO,881978,4329,1000.0,231.00023100023103,2000.0,462.00046200046205,1000.0,1.0
2019,CO,882045,6364,1000.0,157.13387806411063,4000.0,628.5355122564425,3000.0,3.0
2019,CO,882129,8012,2000.0,249.62556165751374,4000.0,499.2511233150275,2000.0,1.0
2019,CA,882135,1628,20.0,12.285012285012286,40.0,24.57002457002457,20.0,1.0
2019,CO,882170,21477,5000.0,232.80718908599894,11000.0,512.1758159891979,6000.0,1.2
2019,CO,882180,16710,5000.0,299.22202274087374,9000.0,538.5996409335727,4000.0,0.8
2019,CO,882209,9932,2000.0,201.3693113169553,4000.0,402.7386226339106,2000.0,1.0
2019,CO,882337,1446,100.0,69.15629322268326,1100.0,760.7192254495159,1000.0,10.0
2019,CO,882374,28513,5000.0,175.35860835408408,8000.0,280.57377336653457,3000.0,0.6
2019,CO,882409,5867,1000.0,170.44486108743826,4000.0,681.7794443497529,3000.0,3.0
2019,CO,882427,300,100.0,333.3333333333333,200.0,666.6666666666666,100.0,1.0
2019,CO,882461,5556,1000.0,179.98560115190784,4000.0,719.9424046076314,3000.0,3.0
2019,AK,882543,464,60.0,129.31034482758622,240.0,517.2413793103449,180.0,3.0
2019,CO,882567,9181,1000.0,108.92059688487093,3000.0,326.7617906546128,2000.0,2.0
2019,CO,882600,2120,500.0,235.84905660377356,1000.0,471.6981132075471,500.0,1.0
2019,CO,882616,3557,1000.0,281.135788585887,2000.0,562.271577171774,1000.0,1.0
2019,CA,882621,19095,10000.0,523.6973029588897,10250.0,536.789735532862,250.0,0.025
2019,AK,882632,321,30.0,93.45794392523364,110.0,342.6791277258567,80.0,2.6666666666666665
2019,CA,882635,30222,10000.0,330.88478591754347,19400.0,641.9164846800344,9400.0,0.94
2019,CO,882641,37323,4200.0,112.53114701390564,21000.0,562.6557350695282,16800.0,4.0
2019,CO,882698,5413,1000.0,184.74043968224643,4000.0,738.9617587289857,3000.0,3.0
2019,AK,882705,190,70.0,368.4210526315789,100.0,526.3157894736842,30.0,0.42857142857142855
2019,AK,882737,13492,4000.0,296.4719833975689,4300.0,318.70738215238663,300.0,0.075
2019,AZ,882750,13342,5000.0,374.7564083345826,10300.0,771.9982011692401,5300.0,1.06
