state,circuit_size,year,avg_decr,mrc,perc_decr_yoy,perc_decr
AK,$_mbps,2016,0.07210365987352828,743.0636363636364,,
national,$_mbps,2016,0.32315884516559373,7.0,,
AK,100,2016,0.0,7000.0,,
AK,1000,2016,0.3510481890651033,13823.0,,
AK,200,2016,14.115384615384615,,,
AK,50,2016,0.0,18559.0,,
AK,500,2016,0.033876074174581626,8250.0,,
national,100,2016,0.17074614411211012,1510.0,,
national,1000,2016,0.1581228272275071,3427.24,,
national,10000,2016,0.1312202956330587,8972.95,,
national,200,2016,0.15655955298864224,2083.33333333333,,
national,50,2016,0.1795626450728112,1200.0,,
national,500,2016,0.16940499005538293,3159.015,,
national,aggregate,2016,0.09291692850135541,2414.0,,
AK,$_mbps,2017,0.07210365987352828,846.0906209573092,0.1386516302935513,
national,$_mbps,2017,0.32315884516559373,4.5568583333333335,-0.3490202380952381,
AK,100,2017,0.0,7000.0,0.0,
AK,1000,2017,0.3510481890651033,9423.0,-0.3183100629385806,
AK,200,2017,14.115384615384615,,,
AK,50,2017,0.0,,,
AK,500,2017,0.033876074174581626,5025.0,-0.39090909090909093,
national,100,2017,0.17074614411211012,1295.0,-0.1423841059602649,
national,1000,2017,0.1581228272275071,3041.68,-0.11249868699011449,
national,10000,2017,0.1312202956330587,8411.666666666664,-0.06255282079286482,
national,200,2017,0.15655955298864224,1766.0,-0.15231999999999857,
national,50,2017,0.1795626450728112,897.0,-0.2525,
national,500,2017,0.16940499005538293,2650.0,-0.16113092213870459,
national,aggregate,2017,0.09291692850135541,2263.42,-0.06237779618889806,
AK,$_mbps,2018,0.07210365987352828,595.9833333333333,-0.2956034276103805,
national,$_mbps,2018,0.32315884516559373,3.123421198343534,-0.3145669735888504,
AK,100,2018,0.0,7000.0,0.0,
AK,1000,2018,0.3510481890651033,5519.0,-0.4143054229014114,
AK,200,2018,14.115384615384615,325.0,,
AK,50,2018,0.0,30797.5,,
AK,500,2018,0.033876074174581626,5025.0,0.0,
national,100,2018,0.17074614411211012,1035.0,-0.20077220077220076,
national,1000,2018,0.1581228272275071,2500.0,-0.1780857946924068,
national,10000,2018,0.1312202956330587,7262.5,-0.13661581137309267,
national,200,2018,0.15655955298864224,1490.17,-0.1561891279728199,
national,50,2018,0.1795626450728112,844.45,-0.05858416945373462,
national,500,2018,0.16940499005538293,2200.0,-0.16981132075471697,
national,aggregate,2018,0.09291692850135541,1999.0,-0.11682321442772445,
AK,$_mbps,2019,0.07210365987352828,560.60625,-0.05935918230375564,
national,$_mbps,2019,0.32315884516559373,2.168,-0.3058893238126927,
AK,100,2019,0.0,7000.0,0.0,
AK,1000,2019,0.3510481890651033,3750.0,-0.320529081355318,
AK,200,2019,14.115384615384615,4912.5,14.115384615384615,
AK,50,2019,0.0,30797.5,0.0,
AK,500,2019,0.033876074174581626,7500.0,0.4925373134328358,
national,100,2019,0.17074614411211012,860.0,-0.16908212560386474,
national,1000,2019,0.1581228272275071,2040.54,-0.183784,
national,10000,2019,0.1312202956330587,5850.0,-0.1944922547332186,
