,id,sample_districts,total_districts,sample_students,total_students
0,1. All Paying < $2500,7187,7587.84510958456002615962,10593480,11106314.5288644692947920
1,2. Not Meeting 1Mbps,4275,4513.43228655544651618650,7833905,8213147.4189071023243370
2,3. Would meet w 1gbps,4311,4551.44013738959764474386,1818396,1906425.2647882504623384
3,4. Paying > $1000,4665,4925.18400392541707555790,8141704,8535847.0894280222472016
4,"5. Not Meeting, would meet w 1gbps, and paying > $1000",2456,2592.98004579653254824656,1178494,1235545.3575576301533676
