,funnel_group,% Rural and Town,% Rural-Remote of Rural/Town,% Small and Tiny,Median # of Students,Median # of 2018 PDs,Median # of 2018 Same SP Deals,Avg # of 2018 Same SP Deals,% Better Cost/Mbps,Avg % Savings Better Deal,Median Best PD % Savings,Avg Best PD % Savings,% Upgraded in last 2 years,% Upgraded in last 3 years
0,No Upgrade No Excuse,0.63184079601990049751,0.20866141732283464567,0.77860696517412935323,1034.5000000000000000,26.0000000000000000,3.0000000000000000,7.6044776119402985,0.40547263681592039801,0.16286419224342124804225399512199,0.39452252008509703065766611892927,0.40856823434484623309154811987546,0.18656716417910447761,0.47512437810945273632
1,Upgraded But Still Not Meeting,0.62790697674418604651,0.20370370370370370370,0.78488372093023255814,838.0000000000000000,19.5000000000000000,2.0000000000000000,8.3197674418604651,0.92441860465116279070,0.5704458894047012816015262018085156594622,0.3797253638512204629360,0.37397096418051016305528750437399,1.00000000000000000000,1.00000000000000000000
2,Upgraded Now Meeting,0.68401486988847583643,0.24456521739130434783,0.84758364312267657993,760.0000000000000000,30.0000000000000000,3.0000000000000000,10.0631970260223048,0.97397769516728624535,0.70493036873722519424432161880607,0.3527418256130790190736,0.39010464414032072901447418459691,0.95167286245353159851,0.96282527881040892193
