,state_net,size,dist_extrap,students_extrap
0,false,Large,122.17704280155642023211,1705097.49119698336638269320
1,false,Medium,488.86556854410201913028,2484642.43548310977004982130
2,false,Mega,33.99999999999999999944,3093391.00000000000004100165
3,false,Small,2158.88631687242798355600,1972779.85934498711157170229
4,false,Tiny,855.03917525773195875919,189383.79797574676320092900
5,null,Large,0E-20,0E-24
6,null,Medium,3.00000000000000000015,10390.99999999999999956858
7,null,Mega,0E-20,0E-24
8,null,Small,15.99999999999999999997,13967.00000000000000028584
9,null,Tiny,3.00000000000000000000,1416.00000000000000000951
10,true,Large,34.33497536945812807905,498330.29099866864942321842
11,true,Medium,117.42391304347826086812,414675.35343055836213380430
12,true,Mega,3.99999999999999999984,338919.00000000000000585411
13,true,Small,663.56341275941583397312,459414.79213554944205048204
14,true,Tiny,166.75576036866359447022,23471.97133242569806576578
15,WI,Large,7.00000000000000000000,82276.00000000000000083540
16,WI,Medium,24.34285714285714285694,93840.71232490542893097128
17,WI,Mega,1.00000000000000000000,68666.00000000000000000000
18,WI,Small,161.81914893617021276553,105446.67432600789151629602
19,WI,Tiny,28.88372093023255813946,11820.09129465261685100918
