,state_code,funding_year,districts_meeting_2018_goal_oversub,districts_not_meeting_2018_goal_oversub,pct_districts_meeting_1mbps,increase_pct_dist_meeting_1mbps,max_year_pct_increase,students_meeting_2018_goal_oversub,students_not_meeting_2018_goal_oversub,pct_students_meeting_1mbps,median_ia_bandwidth_per_student_kbps,median_ia_monthly_cost_per_mbps,districts_population,students_population,pct_rural,pct_small,med_pct_of_meeting_goal,procurement_pattern,active_initiative
0,AK,2015,0E-20,53.00000000000000000000,0E-20,,0.03330206378986866792,0E-24,122104.00000000000000000000,0E-24,91.2084800433358777,740.00000000000000000000,53,122104,0.90566037735849056604,0.54716981132075471698,0.09120848004333587765,District-procured,False
1,AK,2016,1.29268292682926829267,51.70731707317073170733,0.02439024390243902439,0.02439024390243902439,0.03330206378986866792,60.69494608532583162786,124422.30505391467416837214,0.00048757618377871542,118.2033096926713948,781.94181818181818181818,53,124483,0.90566037735849056604,0.56603773584905660377,0.11820330969267139480,District-procured,False
2,AK,2017,3.05769230769230769243,49.94230769230769230757,0.05769230769230769231,0.03330206378986866792,0.03330206378986866792,487.28685144982413620096,118424.71314855017586379904,0.00409787785463051783,205.7648015174095651,923.70000000000000000462,53,118912,0.90566037735849056604,0.60377358490566037736,0.20576480151740956510,District-procured,False
3,AK,2018,3.05769230769230769243,49.94230769230769230757,0.05769230769230769231,0E-20,0.03330206378986866792,323.32223066252724784115,122815.67776933747275215885,0.00262566880243080785,259.3596248462484625,595.98333333333333333334,53,123139,0.90566037735849056604,0.62264150943396226415,0.25935962484624846250,District-procured,True
4,AK,2019,4.15686274509803921552,48.84313725490196078448,0.07843137254901960784,0.02073906485671191553,0.03330206378986866792,383.88219728232661381714,121883.11780271767338618286,0.00313970406800139542,256.4102564102564103,560.60625000000000000000,53,122267,0.90566037735849056604,0.62264150943396226415,0.25641025641025641030,District-procured,True
5,AL,2015,1.04761904761904761932,130.95238095238095238068,0.00793650793650793651,,0.06666666666666666667,1634.21865425709002004465,729996.78134574290997995535,0.00223366513209130015,193.4893976232857354,7.6255672128146186329498,132,731631,0.71212121212121212121,0.31060606060606060606,0.19348939762328573540,State Procured,False
6,AL,2016,1.05468750000000000000,133.94531250000000000000,0.00781250000000000000,-0.00012400793650793651,0.06666666666666666667,499.13114506253202206860,733155.86885493746797793140,0.00068033495997782612,197.5122892200968033,6.8073400000000000000000,135,733655,0.69629629629629629630,0.37777777777777777778,0.19751228922009680325,State Procured,False
7,AL,2017,2.03007518796992481270,132.96992481203007518730,0.01503759398496240602,0.00722509398496240602,0.06666666666666666667,15164.61253222946967434127,711394.38746777053032565873,0.02087182531938833553,299.6703626011387474,5.8427333333333333333334,135,726559,0.69629629629629629630,0.39259259259259259259,0.29967036260113874740,State Procured,False
8,AL,2018,2.99999999999999999970,132.00000000000000000030,0.02222222222222222222,0.00718462823725981620,0.06666666666666666667,16240.00000000000000143101,703338.99999999999999856899,0.02256875200638150919,326.7262034415160096,5.4304400000000000000000,135,719579,0.69629629629629629630,0.38518518518518518519,0.32672620344151600960,State Procured,False
9,AL,2019,12.00000000000000000015,122.99999999999999999985,0.08888888888888888889,0.06666666666666666667,0.06666666666666666667,26138.00000000000000163975,709680.99999999999999836025,0.03552232274513161525,481.8116116598410022,3.9796400000000000000000,135,735819,0.69629629629629629630,0.39259259259259259259,0.48181161165984100220,State Procured,False
10,AR,2015,4.79187817258883248828,231.20812182741116751172,0.02030456852791878173,,0.91922505029301145806,11304.32928492264948046152,446094.67071507735051953848,0.02471437253890509048,145.2432824981844590,14.99500000000000000000,236,457399,0.88135593220338983051,0.83050847457627118644,0.14524328249818445900,State Procured,False
11,AR,2016,13.68932038834951456370,221.31067961165048543630,0.05825242718446601942,0.03794785865654723769,0.91922505029301145806,17529.35534251949198474036,445672.64465748050801525964,0.03784386799391948218,309.2625940221410402,6.4409659184864734600434,235,463202,0.88085106382978723404,0.82553191489361702128,0.30926259402214104020,State Procured,False
12,AR,2017,228.72972972972972973032,5.27027027027027026968,0.97747747747747747748,0.91922505029301145806,0.91922505029301145806,411399.27406211681437693552,50283.72593788318562306448,0.89108603535784686544,1576.8726450515622850,2.2169748638669606180281,234,461683,0.88034188034188034188,0.82905982905982905983,1.5768726450515623,State Procured,False
13,AR,2018,227.77578475336322870068,5.22421524663677129932,0.97757847533632286996,0.00010099785884539248,0.91922505029301145806,432590.98562161083203028648,26397.01437838916796971352,0.94248866118855140446,1584.7860538827258320,1.8861212659619310519400,233,458988,0.87553648068669527897,0.82403433476394849785,1.58478605388272580000,State Procured,False
14,AR,2019,230.93449781659388646372,3.06550218340611353628,0.98689956331877729258,0.00932108798245442262,0.91922505029301145806,468729.93596114822693913708,4732.06403885177306086292,0.99000539845045268034,1555.2099533437013997,1.8360827342821840992822,234,473462,0.87179487179487179487,0.82051282051282051282,1.55520995334370140000,State Procured,False
15,AZ,2015,8.68674698795180722832,197.31325301204819277168,0.04216867469879518072,,0.13480582524271844660,28076.17339109544980883656,895439.82660890455019116344,0.03040139357747505166,129.5468494582084897,16.30000000000000000000,206,923516,0.70388349514563106796,0.65048543689320388350,0.12954684945820848970,District-procured,False
16,AZ,2016,18.63736263736263736308,193.36263736263736263692,0.08791208791208791209,0.04574341321329273137,0.13480582524271844660,42017.51627447249950117829,886991.48372552750049882171,0.04522831993497640981,199.8639360179885528,12.50000000000000000000,212,929009,0.71226415094339622642,0.67452830188679245283,0.19986393601798855275,District-procured,True
