,cut,num_districts,num_schools,num_campuses,num_students,num_districts_overlap,num_schools_overlap,num_campuses_overlap,num_students_overlap
0,population,12912,84443,72939,47060857,12854,83728,72282,46640726
1,sample,12465,81818,70629,45715100,12003,79606,68752,44617997
