size,median_ia_annual_cost_per_student,wtavg_ia_annual_cost_per_student
Large,1.3414965520263553,2.0618345000418694
Medium,3.109053572068794,3.429288805373518
Mega,2.0967133735040053,2.163739442612486
Small,8.71822000772092,9.034042113528523
Tiny,18.815159128640552,18.694922454540908
Overall,7.971884382530492,5.057871438274774
