,district_id,name,state_code,num_students,upgraded_no_total_cost_increase,ia_monthly_cost_total_17,ia_monthly_cost_total_18,total_cost_change_pct,ia_bw_mbps_total_17,ia_bw_mbps_total_18,total_bw_change_x
0,881480,Heber-Overgaard Unified School District 6,AZ,520,True,1987.7900000000000000000000,1300.00000000000000000000,-0.3460073750245247234366,40,500,12.5000000000000000
1,882126,Turlock Unified School District,CA,14109,True,2204.65612843105810138995900000000000,1983.33333333333300000000000000000000,-0.10038880542120158410676634185896,1000,2000,2.0000000000000000
2,883098,Chico Unified School District,CA,11933,True,14394.7781652586014217286060,13824.9300000000000000000000,-0.0395871446379016935579,1000,10000,10.0000000000000000
3,883756,Orcutt Union Elem School District,CA,5207,True,8413.9200000000000000000000,7246.5100000000000000000000,-0.1387474565957365888908,360,2060,5.7222222222222222
4,900878,North Mac Community Unit School District 34,IL,1043,True,800.00000000000000000000,800.00000000000000000000,0E-20,100,600,6.0000000000000000
5,900906,Summit School District 104,IL,1685,True,11486.400000000000000000000,5005.9600000000000000000000,-0.5641837303245577378465,100,1000,10.0000000000000000
6,900973,Indian Springs School District 109,IL,3263,True,1754.4800000000000000000000,1661.800000000000000000000,-0.0528247685924034471752,250,1000,4.0000000000000000
7,901110,Richland County CUSD 1,IL,2435,True,1050.00000000000000000000,1050.00000000000000000000,0E-20,200,1000,5.0000000000000000
8,901892,Woodland School District 50,IL,5786,True,2595.9700000000000000000000,1682.200000000000000000000,-0.3519955931694125895137,500,1000,2.0000000000000000
9,903422,Augusta Unified School District 402,KS,2272,True,4000.00000000000000000000,4000.00000000000000000000,0E-20,200,400,2.0000000000000000
10,903513,Greeley Co Unified District 200,KS,244,True,345.5400000000000000000000,260.00000000000000000000,-0.2475545522949586155004,10,100,10.0000000000000000
11,909711,Bossier Parish School District,LA,22397,True,19999.00000000000000000000,9100.00000000000000000000,-0.54497724886244312216,2000,20000,10.0000000000000000
12,911024,Belmont School District,MA,4416,True,2550.00000000000000000000,1200.00000000000000000000,-0.52941176470588235294,300,500,1.6666666666666667
13,915466,Washington County School District,MD,22930,True,11235.00000000000000000000,7273.7700000000000000000000,-0.3525794392523364485981,2000,7000,3.5000000000000000
14,917396,Hermon School District,ME,1257,True,760.00000000000000000000,760.00000000000000000000,0E-20,100,2000,20.0000000000000000
15,919668,Forest Hills Public Schools,MI,9827,True,2897.2800000000000000000000,2822.8500000000000000000000,-0.0256896123260437375746,700,1000,1.4285714285714286
16,924146,Center School District 58,MO,2467,True,1197.6883615861064929221797,1134.7222953563433782868419,-0.0525729966569740589992,100,250,2.5000000000000000
17,924371,Marion C Early R 5 School District,MO,549,True,1769.00000000000000000000,1425.00000000000000000000,-0.19446014697569248163,50,100,2.0000000000000000
18,924384,Mehlville School District R 9,MO,10486,True,5465.6800000000000000000000,5295.00000000000000000000,-0.0312275874182169464733,1000,5000,5.0000000000000000
19,924447,Odessa School District R 7,MO,2024,True,4000.00000000000000000000,2350.00000000000000000000,-0.41250000000000000000,200,1000,5.0000000000000000
20,926638,Lawrence County School District,MS,2604,True,1600.00000000000000000000,750.00000000000000000000,-0.53125000000000000000,200,500,2.5000000000000000
21,937653,Rochester School District,NH,4538,True,1850.00000000000000000000,1295.00000000000000000000,-0.30000000000000000000,400,500,1.2500000000000000
22,941177,Dover School District,NJ,3137,True,2444.5200000000000000000000,2168.00000000000000000000,-0.1131183217973262644609,200,1000,5.0000000000000000
23,941571,Riverside Township Board Of Education,NJ,1385,True,1250.00000000000000000000,1250.00000000000000000000,0E-20,100,100,1.00000000000000000000
24,946616,Longwood Central School District,NY,9649,True,3200.00000000000000000000,2882.00000000000000000000,-0.09937500000000000000,950,1000,1.0526315789473684
25,951545,Noble Independent School District 40,OK,2863,True,1682.00000000000000000000,1505.700000000000000000000,-0.104815695600475624257,250,1000,4.0000000000000000
26,952190,Crook County Unit School District,OR,2712,True,6422.3875515804451671737616,5791.4246931737498732080000,-0.0982442827280682543248,266.0,311,1.1691729323308271
27,953912,Midd-West School District,PA,2693,True,2262.11068519405845712800,1875.00000000000000000000,-0.17112809188682542457,250,250,1.00000000000000000000
28,954005,Penn-Trafford School District,PA,3911,True,1599.3807829535506804513375,1348.41341795104261106200,-0.1569153310314574910974,250,1000,4.0000000000000000
29,959619,New Shoreham School District,RI,113,True,8502.6600000000000000000000,2502.6600000000000000000000,-0.7056615223941684131789,4.5,100,22.2222222222222222
30,969151,Centerville Independent School District,TX,687,True,3694.7728598886812051189600,3643.7500000000000000000000,-0.0138094713324863111682,20,100,5.0000000000000000
31,969387,George West School District,TX,1100,True,3128.9464132133177958884800,2250.00000000000000000000,-0.2809081067996529788121,100,1000,10.0000000000000000
32,969504,Humble Independent School District,TX,41718,True,5500.00000000000000000000,3540.00000000000000000000,-0.35636363636363636364,4000,6000,1.5000000000000000
33,969636,Littlefield Independent School District,TX,1391,True,6683.4597643452045951144716,4056.00000000000000000000,-0.3931286873846577952942,100,10000,100.0000000000000000
34,969876,Port Neches-Groves School District,TX,5062,True,1895.00000000000000000000,1470.00000000000000000000,-0.22427440633245382586,400,500,1.2500000000000000
35,970021,Shiner Independent School District,TX,651,True,3834.3301772744271685357600,2927.4700000000000000000000,-0.2365107164347162068344,50,100,2.0000000000000000
36,970046,Southside Independent School District,TX,5585,True,6777.3822889057999002333600,1415.033524822926527138716,-0.7912123789830687029335,300,10000,33.3333333333333333
37,970047,Southwest Independent School District,TX,14302,True,6270.2200000000000000000000,2205.677362339654666250312,-0.6482296693992149133124,1000,10000,10.0000000000000000
