,dimension,pct_districts,pct_students,num_students_extrap
0,switcher,0.29523809523809523810,0.24748521946849805912,120652.50928396536279382768
1,non-switcher,0.64761904761904761905,0.67167393251716930427,327450.44553717527620188478
