,funding_year,states_at_$3_mbps,state_fiber_districts,state_fiber_campuses,state_connectivity_districts,state_connectivity_schools,state_connectivity_students,state_fiber_and_connectivity_districts,state_fiber_and_connectivity_schools,state_fiber_connectivity_$3_schools
0,2018,33,14,26,28,25,25,10,16,12
1,2019,42,26,39,42,31,31,23,25,21
