,district_id,state_code,rec_cost,purpose,state_network
0,881421,AL,5284.8400000000000000000000,internet,True
1,881421,AL,22399.99999999999999992000,wan,True
2,881422,CO,1693.0599999999999999322776,upstream,False
3,881422,CO,28.22958771220695230640,isp,False
4,881422,CO,27.55109109802563214360,isp,False
5,881423,AR,2640.00000000000000000000,upstream,True
6,881423,AR,1110.00000000000000000000,wan,True
7,881423,AR,1325.00000000000000000000,wan,True
8,881423,AR,6666.3333333333300000000000000000000,wan,True
9,881423,AR,28.07026605976582108700,isp,True
10,881423,AR,28.07026605976582108700,isp,True
11,881423,AR,23.70983638057889742300,isp,True
12,881423,AR,23.70983638057889742300,isp,True
13,881423,AR,23.70983638057889742300,isp,True
14,881423,AR,25.89005122017235925500,isp,True
15,881423,AR,25.89005122017235925500,isp,True
16,881423,AR,25.89005122017235925500,isp,True
17,881423,AR,25.89005122017235925500,isp,True
18,881423,AR,25.89005122017235925500,isp,True
19,881423,AR,28.07026605976582108700,isp,True
20,881424,AZ,4946.00000000000000000000,internet,False
21,881424,AZ,1298.00000000000000000000,wan,False
22,881424,AZ,1099.00000000000000000000,wan,False
23,881424,AZ,2109.00000000000000000000,wan,False
24,881427,AL,612.500000000000000000000,internet,True
25,881427,AL,5400.00000000000000000000,wan,True
26,881427,AL,8450.00000000000000000000,wan,True
27,881428,AZ,2864.00000000000000000000,internet,False
28,881428,AZ,3408.3280000000000000000000,wan,False
29,881431,AL,16497.2200000000000000000000,internet,True
30,881431,AL,1097.9100000000000000000000,wan,True
31,881431,AL,2279.000000000000000011395,wan,True
32,881431,AL,8149.300000000000000000000,wan,True
33,881433,CA,3335.00000000000000000000,internet,False
34,881433,CA,900.00000000000000000000,internet,False
35,881433,CA,4270.00000000000000000000,internet,False
36,881435,AR,2400.00000000000000000000,upstream,True
37,881435,AR,200.00000000000000000000,wan,True
38,881435,AR,21.23891245462190251300,isp,True
39,881435,AR,21.23891245462190251300,isp,True
40,881435,AR,17.93966391798160697700,isp,True
41,881435,AR,17.93966391798160697700,isp,True
42,881435,AR,17.93966391798160697700,isp,True
43,881435,AR,19.58928818630175474500,isp,True
44,881435,AR,19.58928818630175474500,isp,True
45,881435,AR,19.58928818630175474500,isp,True
46,881435,AR,19.58928818630175474500,isp,True
47,881435,AR,19.58928818630175474500,isp,True
48,881435,AR,21.23891245462190251300,isp,True
49,881439,AL,3985.0900000000000000000000,internet,True
50,881439,AL,2970.00000000000000000000,wan,True
51,881443,AL,6610.8400000000000000000000,internet,True
52,881443,AL,1459.500000000000000000000,wan,True
53,881443,AL,1459.500000000000000000000,wan,True
54,881443,AL,1459.500000000000000000000,wan,True
55,881443,AL,1459.500000000000000000000,wan,True
56,881443,AL,1459.500000000000000000000,wan,True
57,881445,CA,948.1300000000000000000000,upstream,False
58,881445,CA,971.8300000000000000000000,wan,False
59,881445,CA,948.1300000000000000000000,wan,False
60,881445,CA,1933.1600000000000000000000,wan,False
61,881446,AR,2760.00000000000000000000,upstream,True
62,881446,AR,900.00000000000000000000,wan,True
63,881446,AR,840.00000000000000000000,wan,True
64,881446,AR,19.89817950407963814500,isp,True
65,881446,AR,19.89817950407963814500,isp,True
66,881446,AR,16.80720016364008270500,isp,True
67,881446,AR,16.80720016364008270500,isp,True
68,881446,AR,16.80720016364008270500,isp,True
69,881446,AR,18.35268983385986042500,isp,True
70,881446,AR,18.35268983385986042500,isp,True
71,881446,AR,18.35268983385986042500,isp,True
72,881446,AR,18.35268983385986042500,isp,True
73,881446,AR,18.35268983385986042500,isp,True
74,881446,AR,19.89817950407963814500,isp,True
75,881447,CO,1200.00000000000000000000,internet,False
76,881450,CO,820.00000000000000000000,internet,False
77,881451,AZ,572.800000000000000000000,internet,False
78,881452,CA,4247.00000000000000000000,upstream,False
79,881452,CA,4247.00000000000000000000,upstream,False
80,881453,AR,495.00000000000000000000,upstream,True
81,881453,AR,1749.00000000000000000000,wan,True
82,881453,AR,18.04669114380698735600,isp,True
83,881453,AR,18.04669114380698735600,isp,True
84,881453,AR,15.24332164573988252400,isp,True
85,881453,AR,15.24332164573988252400,isp,True
86,881453,AR,15.24332164573988252400,isp,True
87,881453,AR,16.64500639477343494000,isp,True
88,881453,AR,16.64500639477343494000,isp,True
89,881453,AR,16.64500639477343494000,isp,True
