,version,total_2018_no_excuse,meeting_2019,total_still_not_meeting_2019,meeting_pdeals_exp,meeting_paid_more_exp,upgraded_still_not_meeting,not_upgraded_still_not_meeting,meeting_pdeal_same_sp_exp,meeting_pdeal_diff_sp_exp,meeting_paid_more_same_sp_exp,meeting_paid_more_diff_sp_exp,upgraded_not_meeting_same_sp_exp,upgraded_not_meeting_diff_sp_exp,no_upgrade_no_excuse_exp,no_upgrade_yes_excuse_exp,not_meeting_not_expiring_2019_exp
0,students,6147521,1132346,5015175,839009,291818,1879376,3135799,516495,322514,200494,91324,1389206,489603,1651258.0,1484541.0,2084705.0
1,districts,1371,342,1029,227,115,277,752,143,84,88,27,207,69,424.0,328.0,427.0
