funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,AZ,883078,6825,2000.0,3280.0,293.040293040293,5801.25,Deal 2,1.0,5000.0,3090.0,1.0,1.0,True,732.6007326007326,3000.0,1.5
2019,AZ,883080,3619,2000.0,1955.0,552.638850511191,3619.0,Deal 1,2.0,3000.0,1635.0,2.0,1.0,True,828.9582757667864,1000.0,0.5
2019,CA,883091,4808,1000.0,1179.771568077561,207.98668885191347,4086.8,Deal 1,2.0,1075.0,1109.0,2.0,1.0,True,223.585690515807,75.0,0.075
2019,AZ,883092,3514,1000.0,5800.0,284.57598178713715,2986.9,Deal 1,3.0,2300.0,5350.0,2.0,1.0,True,654.5247581104155,1300.0,1.3
2019,CA,883102,2203,250.0,759.7410035228988,113.48161597821154,2203.0,Deal 1,1.0,500.0,692.0,1.0,1.0,True,226.96323195642307,250.0,1.0
2019,AZ,883105,2083,1000.0,2864.0,480.07681228996637,2083.0,Deal 2,2.0,2030.0,2789.0,2.0,1.0,True,974.5559289486317,1030.0,1.03
2019,AZ,883133,5500,2500.0,2490.0,454.54545454545456,4675.0,Deal 1,2.0,4000.0,2300.0,1.0,1.0,True,727.2727272727273,1500.0,0.6
2019,AZ,883151,34319,5000.0,8887.25,145.69189078935867,24023.3,Deal 2,3.0,21000.0,8585.0,2.0,1.0,True,611.9059413153063,16000.0,3.2
2019,AZ,883153,13107,2000.0,4107.56,152.59021896696422,9174.9,Deal 1,1.0,8000.0,3901.0,1.0,1.0,True,610.3608758678569,6000.0,3.0
2019,CA,883156,119,20.0,2500.0,168.0672268907563,119.0,Deal 1,5.0,70.0,2320.0,2.0,1.0,True,588.2352941176471,50.0,2.5
2019,CA,883165,53108,10000.0,3750.0,188.29554869322888,37175.6,Deal 3,9.0,19400.0,3336.0,3.0,1.0,True,365.29336446486406,9400.0,0.94
2019,AZ,883172,5614,1000.0,2864.0,178.12611328820805,4771.9,Deal 2,2.0,2030.0,2789.0,2.0,1.0,True,361.5960099750623,1030.0,1.03
2019,AZ,883196,11407,600.0,2095.0,52.59928114315771,9695.95,Deal 1,2.0,3000.0,1635.0,2.0,1.0,True,262.99640571578857,2400.0,4.0
2019,CA,883197,3151,100.0,471.5,31.735956839098698,3151.0,Deal 1,2.0,253.0,419.0,2.0,1.0,True,80.2919708029197,153.0,1.53
2019,AZ,883228,1124,200.0,3000.0,177.93594306049823,1124.0,Deal 1,2.0,1100.0,2725.0,2.0,1.0,True,978.6476868327402,900.0,4.5
2019,AZ,883232,1388,500.0,1879.0,360.2305475504323,1388.0,Deal 1,2.0,700.0,1873.0,2.0,1.0,True,504.3227665706052,200.0,0.4
2019,AZ,883282,808,400.0,1500.0,495.0495049504951,808.0,Deal 1,3.0,560.0,1472.0,2.0,1.0,True,693.0693069306931,160.0,0.4
2019,AZ,883294,3948,1000.0,2864.0,253.29280648429585,3355.8,Deal 2,2.0,2030.0,2789.0,2.0,1.0,True,514.1843971631206,1030.0,1.03
2019,AZ,883323,3134,750.0,2480.0,239.3107849393746,2663.9,Deal 1,2.0,1100.0,2454.0,2.0,1.0,True,350.98915124441606,350.0,0.4666666666666667
2019,AZ,883349,2523,1000.0,2954.0,396.3535473642489,2144.55,Deal 1,2.0,2080.0,2932.0,2.0,1.0,True,824.4153785176377,1080.0,1.08
