,funding_year,states_at_$3_mbps,state_fiber_districts,state_fiber_campuses,state_connectivity_districts,state_connectivity_schools,state_connectivity_students,state_fiber_and_connectivity_districts,state_fiber_and_connectivity_schools
0,2018,33,18,7,3,8,12,2,2
1,2019,42,12,4,1,3,5,1,0
