,district_id,locale,size,perc_cost_increase
0,Average,,,2.19535078681787322235100861486877
1,Average w/o outlier,,,1.71378318799048214779851292874474
2,919531,Rural,Small,0.01143220098802648955
3,970141,Town,Medium,0.019244258526395681961
4,950977,Rural,Small,2.2844740269136159745334
5,952338,Town,Small,0.8072274075516634314023
6,969959,Rural,Medium,0.1357854875668356498066
7,951352,Town,Small,0.85263157894736842105
8,952251,Town,Medium,2.57876789023793937832
9,952203,Rural,Tiny,6.6411057529036201861034
10,975525,Town,Medium,1.17333333333333333333
11,903476,Rural,Small,0.6986652472244835884453
12,919721,Town,Small,1.0248315079076148821856016028613
13,928917,Rural,Small,1.75590551181102362205
14,951321,Rural,Small,2.2286601587525653415569
15,952273,Town,Small,0.38105261702714681556
16,942968,Town,Small,4.6936565239814337287261
17,882471,Urban,Large,1.377309638696010356596
18,919793,Rural,Small,2.472121130056216221120
19,952198,Rural,Tiny,0.8711060733960449164215
20,901688,Rural,Small,0.984061696658097686375
21,924222,Rural,Small,1.3359773662067579449653
22,911165,Suburban,Large,0.8518898142216527866690
23,970014,Urban,Medium,0.14916369692159580393
24,952334,Town,Small,0.72902820164978571827138818229243
25,969441,Rural,Tiny,0.1532034359005843710058
26,883310,Town,Small,1.726015340123223940726
27,903680,Rural,Small,0.4992766367865653012595
28,928825,Rural,Small,0.90133333333333333333
29,883230,Rural,Tiny,1.00000000000000000000
30,901652,Rural,Tiny,0.0165000000000000000000
31,919629,Rural,Small,30.471768846571403633314452554745
32,946319,Suburban,Medium,0.053076778711992277870381
33,881938,Town,Medium,0.352388826551703773696
34,951497,Rural,Tiny,1.3703040860317687578050
35,882964,Rural,Small,0.3256724085303773590653891704487
36,901279,Town,Small,0.9374750000000000000000
37,975651,Rural,Small,1.3321723284502200308883
38,975585,Rural,Small,0.09090909090909090909
39,881837,Rural,Tiny,0.5920473637891031282503
40,894151,Rural,Small,0.0025305942354361057399
41,894364,Rural,Small,0.18750000000000000000
42,951512,Rural,Small,0.9412724414007249666134
43,919617,Rural,Small,1.55853172811358284246
44,919792,Rural,Small,1.86167005728510672822
45,953611,Suburban,Small,0.5045382093346715168920
46,922530,Rural,Small,0.53459119496855345912
47,969386,Rural,Tiny,0.3895641981716293943974
48,924415,Town,Medium,0.5558797222357743409605
49,969810,Rural,Tiny,0.04597701149425287356
50,969923,Rural,Medium,0.3636650938220125096017
51,969308,Suburban,Medium,0.98293549005724597509
52,883602,Town,Small,0.9056974600225262123427
53,952191,Rural,Small,0.148106435222180209151
54,894141,Rural,Small,0.93271295633500357910
55,970144,Suburban,Medium,0.8150916844837663392885
56,953863,Rural,Small,1.23188405797101449280
57,949588,Urban,Mega,2.67567567567567567568
58,924111,Rural,Small,0.4185391782740741515539
59,953815,Suburban,Medium,0.2874546160151610884415
60,901131,Suburban,Small,6.3265516058978168933592
61,882855,Rural,Tiny,1.6049327075236782488530219369912
62,937670,Rural,Tiny,2.5038921116565025534586
63,968967,Rural,Small,0.0945555189530558863858
64,902166,Suburban,Medium,0.90000000000000000000
65,951573,Rural,Small,0.6500377286301850297047
66,882060,Rural,Small,0.25000000000000000000
67,883628,Urban,Mega,0.6455799657765690032102
68,883205,Suburban,Medium,3.1689422382671480144404
69,969064,Rural,Medium,0.7834130259831561608077
70,969314,Town,Small,0.1596980720261913423063
71,882999,Rural,Tiny,0.24712114847589006123669233653132
72,883540,Rural,Tiny,1.41864750904942785867318442
73,902078,Town,Small,0.89655172413793103448
74,903686,Urban,Mega,0.53623188405797101449
75,901637,Suburban,Medium,0.959062356365864869006
76,882765,Rural,Tiny,0.9506146572104018912530
77,922511,Town,Medium,0.15212393214386040767
78,970167,Rural,Tiny,0.2581475627355722721193
79,941062,Suburban,Small,1.8363673869320818936620
80,894508,Rural,Small,0.1438280268892664549014
81,969211,Rural,Small,1.47875000000000000000
82,895381,Rural,Tiny,7.4380273767110444402775
83,922545,Town,Small,0.81250000000000000000
84,941441,Suburban,Medium,2.078470149253731343284
85,970164,Rural,Medium,0.8478740745771921483393
86,952183,Rural,Tiny,8.16666666666666666667
87,929170,Rural,Tiny,6.70000000000000000000
88,952252,Town,Medium,0.23071897259331035181728485005234
89,969762,Rural,Small,0.27105934249692762321
90,929047,Rural,Small,0.27149321266968325792
91,980699,Rural,Small,1.02554744525547445255
92,883906,Rural,Tiny,0.4602857142857153377959183673493
93,951420,Rural,Small,0.56250000000000000000
94,903486,Rural,Small,7.0735870818915801614764
95,941635,Suburban,Small,0.9224991452991452991453
96,967198,Rural,Tiny,0.75000000000000000000
97,929026,Rural,Small,0.90695488721804511278
98,919597,Rural,Small,0.1531047406274674321317
99,942952,Rural,Small,0.9365816311335078820904
100,937679,Rural,Tiny,0.1257400000000000000000
101,937476,Rural,Tiny,0.2156960556844547563805
102,883613,Rural,Tiny,0.62182619371706843822609546
103,951328,Suburban,Small,0.60606060606060606061
104,894204,Urban,Medium,0.16666666666666666667
105,903463,Town,Small,0.68421052631578947368
106,970194,Rural,Tiny,0.029411764705882352941
107,895407,Rural,Small,0.01385927505330490405
108,946608,Rural,Small,2.51474809272864425400
109,924241,Rural,Tiny,5.75000000000000000000
110,903685,Rural,Small,0.04000000000000000000
111,969223,Rural,Medium,0.1187352890967929853602
112,919592,Town,Small,0.9742215664791905225257859108235
113,894208,Rural,Small,0.03206997084548104956
114,903410,Rural,Small,2.42857142857142857143
115,894242,Rural,Small,0.553200000000000000000
116,901584,Suburban,Small,0.16471549142390416553
117,911243,Rural,Tiny,2.6851542952460383653044
118,952167,Town,Medium,0.8579331406961590942453
119,919739,Rural,Small,10.025316570057711078327145
120,882393,Rural,Small,0.74870466321243523316
121,924229,Suburban,Large,0.9245434841506366838255
122,928976,Rural,Small,2.3665223665223665223665
123,953737,Town,Small,0.1109800000000000000000
124,952233,Rural,Tiny,0.70955178312391472966573594128148
125,952335,Rural,Tiny,6.6411057529036201861034
126,903643,Rural,Tiny,0.1520817480160887052941
127,895405,Rural,Small,0.5920370370370370370370
128,919713,Rural,Small,0.16163035839775122980
129,883202,Urban,Medium,0.0458225641865973468795
130,969085,Rural,Small,1.10512913786831575118
131,924072,Rural,Tiny,14.822000000000000000000
132,924382,Rural,Medium,0.2061006556085572696876
133,969122,Rural,Tiny,0.4892406545965663799739
134,901001,Town,Medium,1.78571428571428571429
135,952178,Town,Small,0.66666666666666666667
136,924459,Rural,Medium,0.1852878743105575204087
137,919672,Town,Small,0.01705006500083863935
138,970220,Town,Small,0.66428571428571428571
139,901586,Rural,Small,0.5512259194395796847636
140,951448,Town,Small,1.4217527421687612853383
141,895417,Rural,Small,1.55926352128883774453
142,919970,Rural,Small,0.533941577043602247574
143,901211,Suburban,Small,1.26562500000000000000
144,901842,Suburban,Medium,0.2291243105400544907274
145,901323,Town,Small,55.3040833333333333333333
146,919571,Suburban,Small,0.00453729790300070130
147,954084,Rural,Small,0.28140703517587939704
148,929197,Rural,Small,2.5967862481315396113602
149,919693,Town,Small,0.9893278673115864113489784595282
150,924158,Town,Small,0.1242297153512158120601
151,911338,Suburban,Medium,0.23950276243093922652
152,919922,Town,Small,11.510420394698043826495364
153,951486,Town,Medium,0.08336112037345781927
154,883424,Rural,Small,19.64761904761904761843
155,967101,Rural,Small,0.68421052631578947368
156,969713,Suburban,Medium,1.52199245371259055989
157,942949,Rural,Small,0.0514883778823359535754
158,968964,Rural,Tiny,0.1874457113879307314967
159,911213,Suburban,Large,0.10091743119266055046
160,881883,Rural,Small,0.31909547738693467337
161,952261,Rural,Small,0.242232875253071153537
162,975557,Rural,Medium,0.72621564482029598309
163,924416,Town,Small,0.2066154749636828794824
164,952272,Town,Medium,0.03638790535087191980457790367571
165,919704,Urban,Large,0.8765024225767149292975
166,919811,Rural,Small,0.0597291148491742600167
