,category,wt_avg_cost_mbps
0,1Mbps Leaders,1.40463916337035449451617963278748
1,Middle of the Pack,1.675211670769781668338057011870880
2,1Mbps Laggers,3.014901234730803530732080
3,All Except Leaders,2.186623511221632395131573121431442
