,bandwidth_in_mbps,line_items,median_rec_cost,percentile_30_rec_cost,old_knapsack_rec_cost,median_$mbps,percentile_30_$mbps,old_knapsack_$mbps
0,50,189,650.0000000000000000,400.0,700,13.0000000000000000,8.0,14.0000000000000000
1,100,724,860.0000000000000000,600.0,1200,8.6000000000000000,6.0,12.0000000000000000
2,200,503,1250.0000000000000000,975.0,1800,6.2500000000000000,4.875,9.0000000000000000
3,500,929,1850.0000000000000000,1424.7,2750,3.7000000000000000,2.8494,5.5000000000000000
4,1000,2711,2000.0000000000000000,1505.324,3000,2.0000000000000000,1.505324,3.0000000000000000
5,10000,417,5850.0000000000000000,3763.3,7500,0.58500000000000000000,0.37633,0.75000000000000000000
