,Group,sample_districts,total_districts,sample_students,total_students
0,1. Dont meet at 10g and not SN,365,379.4078947368420995,12730006,13413998.7554507023589564
1,2. Can meet w $0.25/mbps,279,290.0131578947368377,8937487,9417704.8694915643774278
2,3. If only buy in 10k increments,242,251.5526315789473646,8121866,8558259.9423705985814404
