,New Group,Total Districts (pre-extrap),% Districts with BW increase,% BW Increase Districts that pay less now,Avg % Change BW,Avg % Change Cost/Mbps,% of Districts with cost increase
0,No Cost Peer Deal,749,0.30841121495327102804,0.15584415584415584416,0.98569858676523703766,-0.24769927346780315873193289148396,0.44058744993324432577
1,Newly Meeting,470,0.89148936170212765957,0.38186157517899761337,2.5484356436320092,-0.77961607584065970912661834261032,0.52553191489361702128
