metric,bw_percent_increase,bw_increase_mbps,bw_before_deal_mbps,bw_after_deal_mbps,bw_per_student_before_deal_kbps,bw_per_student_after_deal_kbps
median,100.0,700.0,1000.0,1500.0,256.0,591.0
mean,147.0,1182.0,1280.0,2462.0,292.0,591.0
