,group,median_ia_annual_oop_student,weighted_avg_ia_annual_oop_student
0,All,5.20835259670211126522,3.1194681629423664200393885223
1,Meeting 2019,8.35266821345707656613,5.2491976588493048667372911767
2,Not Meeting 2019,4.0243607355886818256051,2.6225564490178097111956313985
