,newly_meeting_year,district_group,districts,districts_p,median_additional_bw_needed_to_meet,median_additional_bw_needed_to_meet_p,median_meeting_2019_goal_upgrade_bw_increase,median_meeting_2019_goal_upgrade_bw_increase_p,order_group
0,2019,Tiny,164,0.12882953652788688138,85.5000000000000000,0.95500000000000000000,400.0000000000000000,4.0000000000000000,1
1,2018,Tiny,172,0.17479674796747967480,111.0000000000000000,1.7750000000000000,455.0000000000000000,8.1666666666666667,1
2,2019,Small,827,0.64964650432050274941,269.0000000000000000,0.87000000000000000000,900.0000000000000000,3.0000000000000000,1
3,2018,Small,603,0.61280487804878048780,383.0000000000000000,1.96800000000000000000,900.0000000000000000,4.0000000000000000,1
4,2019,Medium,223,0.17517674783974862529,1399.2000000000000000,1.27360000000000000000,4000.0000000000000000,4.0000000000000000,1
5,2018,Medium,172,0.17479674796747967480,1548.0500000000000000,1.31781666666666665000,3000.0000000000000000,3.1052631578947369,1
6,2018,Large,37,0.03760162601626016260,5752.1000000000000000,1.74446666666666670000,9000.0000000000000000,2.3333333333333333,1
7,2019,Large,55,0.04320502749410840534,5767.6000000000000000,1.44405000000000000000,8000.0000000000000000,2.3333333333333333,1
8,2019,Mega,4,0.00314218381775333857,8879.9500000000000000,0.58195750000000000000,25000.000000000000,2.00000000000000000000,1
9,2019,Tiny & Small,991,0.77847604084838963079,221.0000000000000000,0.88000000000000000000,800.0000000000000000,3.0000000000000000,2
10,2018,Tiny & Small,775,0.78760162601626016260,307.0000000000000000,1.94000000000000000000,900.0000000000000000,4.0505050505050505,2
11,2018,"Medium, Large & Mega",209,0.21239837398373983740,1807.2000000000000000,1.34780000000000000000,4000.0000000000000000,3.0000000000000000,2
12,2019,"Medium, Large & Mega",282,0.22152395915161036921,1840.2500000000000000,1.27990000000000000000,6500.0000000000000000,4.0000000000000000,2
13,2019,Total,1273,1,334.0000000000000000,0.93600000000000000000,950.0000000000000000,3.0000000000000000,3
14,2018,Total,984,1,414.5000000000000000,1.7590000000000000,900.0000000000000000,4.0000000000000000,3
