,subgroup,could_meet_with_current_technology,ia_monthly_cost_per_mbps,ia_monthly_cost_total,ia_monthly_cost_per_student
0,looking to upgrade but cant afford bids,True,21.9390470667768270340824,4387.8094133553654068164800,2.1721828778986957459488
1,looking to upgrade but cant afford bids,True,4.90200000000000000000,2451.00000000000000000000,0.46659051970302684180
2,looking to upgrade but cant afford bids,True,50.00000000000000000000,2500.00000000000000000000,3.01932367149758454106
3,looking to upgrade but cant afford bids,True,9.00000000000000000000,450.00000000000000000000,0.73289902280130293160
4,looking to upgrade but cant afford bids,True,4020.82857142857142857143,140729.00000000000000000000,301.99356223175965665236
5,looking to upgrade but cant afford bids,True,564.00000000000000000000,846.00000000000000000000,6.50769230769230769231
6,looking to upgrade but cant afford bids,True,24.94473297799649956363396500000000,2494.47329779964995636339650000000000,2.14670679672947500547624483648881
7,looking to upgrade but cant afford bids,True,29.42099120033424150748905500000000,2942.09912003342415074890550000000000,2.46613505451250976592531894383906
8,looking to upgrade but cant afford bids,True,2.00000000000000000000,3000.00000000000000000000,0.11268452090297862750
9,looking to upgrade but cant afford bids,True,24.80000000000000000000,1240.00000000000000000000,1.27572016460905349794
10,looking to upgrade but cant afford bids,True,2.392178217821782178218,48322.000000000000000000000,0.154877708725292547139
11,looking to upgrade but cant afford bids,True,9.80400000000000000000,2451.00000000000000000000,0.93764345830145371079
12,looking to upgrade but cant afford bids,True,5.40000000000000000000,540.00000000000000000000,0.45302013422818791946
13,looking to upgrade but cant afford bids,True,9.0837500000000000000000,1816.7500000000000000000000,0.5538871951219512195122
14,looking to upgrade but cant afford bids,True,50.00000000000000000000,1000.00000000000000000000,3.95256916996047430830
15,looking to upgrade but cant afford bids,True,2.3834757281553398058252,2454.9800000000000000000000,0.2144649253079409452258
16,looking to upgrade but cant afford bids,True,4.1389714285714285714286,2897.2800000000000000000000,0.2948285336318306706014
17,looking to upgrade but cant afford bids,True,18.30000000000000000000,915.00000000000000000000,1.79764243614931237721
18,looking to upgrade but cant afford bids,True,4.62500000000000000000,1850.00000000000000000000,0.40766857646540326135
19,looking to upgrade but cant afford bids,True,7.96000000000000000000,3980.00000000000000000000,0.65589980224126565590
20,looking to upgrade but cant afford bids,True,,,
21,looking to upgrade but cant afford bids,True,13.7474500000000000000000,2749.4900000000000000000000,1.1719906223358908780904
22,looking to upgrade but cant afford bids,True,36.50000000000000000000,730.00000000000000000000,1.97831978319783197832
23,looking to upgrade but cant afford bids,True,35.8826098262018497816641,8970.6524565504624454160208,1.4822624680354366234990
24,looking to upgrade but cant afford bids,True,247.41710688688862990957,1484.50264132133177945744,13.49547855746665254052
25,looking to upgrade but cant afford bids,True,31.2894641321331779588848,3128.9464132133177958884800,2.8444967392848343598986
26,looking to upgrade but cant afford bids,True,96.3304157624907607885294,4816.5207881245380394264716,9.1743253107134057893838
27,looking to upgrade but cant afford bids,True,22.5912742963526663341112,6777.3822889057999002333600,1.2134972764379229901940
28,looking to upgrade but cant afford bids,True,22.00000000000000000000,2200.00000000000000000000,2.18470705064548162860
29,looking to upgrade but cant afford bids,True,2.20465612843105810138995900000000,2204.65612843105810138995900000000000,0.15625885097675654556594790559218
30,looking to upgrade but cant afford bids,True,5.10000000000000000000,15300.00000000000000000000,0.31213660566742150682
31,looking to upgrade but cant afford bids,True,12.50000000000000000000,750.00000000000000000000,0.76374745417515274949
32,looking to upgrade but cant afford bids,True,4.8935100000000000000000,4893.5100000000000000000000,0.4050918874172185430464
33,looking to upgrade but cant afford bids,True,14.3947781652586014217286,14394.7781652586014217286060,1.2063000222289953424729
34,looking to upgrade but cant afford bids,True,3.9209382259715450240007,3920.9382259715450240006659,0.2872271793986920389716
35,looking to upgrade but cant afford bids,True,17.816875728359918943598,3563.375145671983788719629,1.617510279469806531421
36,looking to upgrade but cant afford bids,True,6.00000000000000000000,600.00000000000000000000,0.37151702786377708978
37,looking to upgrade but cant afford bids,True,36.3378000000000000000000,1816.8900000000000000000000,1.7571470019342359767892
38,looking to upgrade but cant afford bids,True,5.25000000000000000000,1050.00000000000000000000,0.43121149897330595483
39,looking to upgrade but cant afford bids,True,37.50000000000000000000,1500.00000000000000000000,1.10375275938189845475
40,looking to upgrade but cant afford bids,True,4.60400000000000000000,4604.00000000000000000000,0.40417873759985953823
41,looking to upgrade but cant afford bids,True,8.1087000000000000000000,810.8700000000000000000000,0.7364850136239782016349
42,looking to upgrade but cant afford bids,True,8.50000000000000000000,2550.00000000000000000000,0.57744565217391304348
43,looking to upgrade but cant afford bids,True,11.62500000000000000000,11625.00000000000000000000,0.74385717942155106220
44,looking to upgrade but cant afford bids,True,7.743750000000000000000,619.500000000000000000000,0.734004739336492890995
45,looking to upgrade but cant afford bids,True,86.6845000000000000000000,1733.6900000000000000000000,6.4210740740740740740741
46,looking to upgrade but cant afford bids,True,8.00000000000000000000,1600.00000000000000000000,0.61443932411674347158
47,looking to upgrade but cant afford bids,True,37.7739000000000000000000,3777.3900000000000000000000,1.7092262443438914027149
48,looking to upgrade but cant afford bids,True,4.6061136998943384112500,506.6725069883772252375000,0.4540076227494419580981
49,looking to upgrade but cant afford bids,True,57.1256045778115998015384,5712.5604577811599801538400,5.1141991564737331961986
50,looking to upgrade but cant afford bids,True,19.01611746020830057383,2472.09526982707907459824,1.45760334305841926568
51,looking to upgrade but cant afford bids,True,3.53333333333333333333,2120.00000000000000000000,0.25939067661813287654
52,looking to upgrade but cant afford bids,True,0.882766666666666666667,2648.300000000000000000000,0.076447664684487038855
