,subgroup,percent_districts,sample_districts,percent_districts_consortia_all_100kbps,sample_districts_consortia_all_100kbps,percent_districts_consortia_model_100kbps,sample_districts_consortia_model_100kbps,extrapolated_oop_increase,sample_oop_increase
0,consortia,0.34375000000000000000,22,0.10937500000000000000,7,0.31250000000000000000,20,0,0
1,increase budget,0.10937500000000000000,7,0E-20,0,0E-20,0,27169.9478024735115657740942457525112317438232806219336927017946664908901768224716573400,26392.97768907985647555808193762427937740315981765751166308351675200
2,"no consortia, peer deal",0.54687500000000000000,35,0E-20,0,0E-20,0,0,0
