funding_year,state_code,district_id,num_students,best_deal
2019,AZ,881428,2297,True
2019,CA,881445,2225,True
2019,AZ,881451,453,False
2019,AZ,881455,128,False
2019,AZ,881468,536,False
2019,AZ,881477,1131,False
2019,CA,881577,29890,False
2019,CA,881656,1633,False
2019,CO,881752,1568,False
2019,CO,881924,305,False
2019,CO,881930,26053,True
2019,CO,881978,4329,True
2019,CO,882017,273,False
2019,CO,882025,4720,False
2019,CO,882045,6364,True
2019,CO,882080,1117,False
2019,CO,882095,517,False
2019,CO,882113,1318,False
2019,CO,882129,8012,True
2019,CA,882135,1628,True
2019,CO,882138,267,False
2019,CO,882170,21477,True
2019,CO,882180,16710,True
2019,CO,882209,9932,True
2019,AZ,882218,6798,False
2019,CO,882228,116,False
2019,CO,882239,581,False
2019,CO,882251,869,False
2019,CO,882262,3426,False
2019,CO,882274,46,False
2019,CO,882311,921,False
2019,CO,882337,1446,True
2019,CO,882374,28513,True
2019,CO,882409,5867,True
2019,CO,882427,300,True
2019,CO,882453,1066,False
2019,CO,882461,5556,True
2019,CO,882501,160,False
2019,CO,882504,580,False
2019,CO,882515,15802,False
2019,AK,882538,2013,False
2019,AK,882543,464,True
2019,CO,882545,1168,False
2019,CA,882547,78,False
2019,CO,882567,9181,True
2019,AK,882576,239,False
2019,CO,882585,306,False
2019,AK,882587,1970,False
2019,CO,882600,2120,True
2019,CO,882603,195,False
2019,AK,882604,327,False
2019,AK,882608,372,False
2019,AK,882613,284,False
2019,CO,882616,3557,True
2019,CA,882621,19095,True
2019,AK,882632,321,True
2019,CA,882635,30222,True
2019,AK,882637,2297,False
2019,CO,882641,37323,True
2019,AK,882642,46874,False
2019,AK,882648,4818,False
2019,AK,882653,1254,False
2019,AK,882663,111,False
2019,AK,882674,96,False
2019,AK,882680,9013,False
2019,CO,882687,198,False
2019,AK,882695,349,False
2019,CO,882698,5413,True
2019,AK,882700,18809,False
2019,CO,882702,2480,False
2019,AK,882705,190,True
2019,AK,882737,13492,True
2019,CA,882738,2035,False
2019,AZ,882739,153,False
2019,AZ,882750,13342,True
2019,AK,882760,66,False
2019,AK,882771,132,False
2019,AK,882778,586,True
2019,AK,882787,387,False
2019,AK,882794,395,False
2019,AK,882802,246,True
2019,AZ,882803,61,False
2019,AZ,882915,3727,False
2019,CA,882930,2464,False
2019,CA,882932,411,True
2019,CA,882951,5828,True
2019,CA,883014,374,False
2019,CA,883038,503,True
2019,AZ,883048,399,False
2019,AZ,883049,2445,False
2019,CA,883050,192,False
2019,AZ,883053,127,False
2019,AZ,883059,107,False
2019,AZ,883065,4885,False
2019,AZ,883066,4043,True
2019,AZ,883074,132,False
2019,CA,883077,4535,False
2019,AZ,883078,6825,True
2019,AZ,883080,3619,True
2019,AZ,883084,125,False
2019,CA,883091,4808,True
2019,AZ,883092,3514,True
2019,CA,883102,2203,True
2019,CA,883104,1051,False
2019,AZ,883105,2083,True
