,id,sample_districts,total_districts,sample_students,total_students
0,1. All Paying < $2500,5036,5316.87602224403009485736,7821238,8199867.2044603741261852
1,2. Not Meeting 1Mbps,3084,3256.00588812561334641384,5687409,5962738.7042118871652586
2,3. Would meet w 1gbps,2890,3051.18580307491004252140,1233615,1293334.7868240788002710
3,4. Paying > $1000,3179,3356.30438338240104677354,5838204,6120833.7494076224333016
4,"5. Not Meeting, would meet w 1gbps, and paying > $1000",1579,1667.06656853123977755754,774962,812478.2148942431432948
