district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,projected_bw_fy2018,fit_for_ia,fit_for_ia_cost,sea_name,ss_name,state_network,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
881836,2019,Crenshaw County School District,AL,2293.0,1500,5288.53,2293.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881842,2019,Cullman City School District,AL,3094.0,2500,10459.86,3094.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881847,2019,Cullman County School District,AL,9477.0,3000,8771.18,6633.9,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881851,2019,Dale County School District,AL,3135.0,1500,5293.9,2664.75,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881854,2019,Daleville City School District,AL,1004.0,1000,3926.03,1004.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881860,2019,Dallas County School District,AL,3145.0,1500,6421.98,2673.25,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881865,2019,De Kalb County School District,AL,9023.0,3000,10469.31,7669.55,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881871,2019,Decatur City School District,AL,8746.0,3000,6693.09,6122.2,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881876,2019,Demopolis City School District,AL,2296.0,1500,5076.26,2296.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881881,2019,Dothan City School District,AL,9213.0,2000,6401.59,6449.1,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881886,2019,Elba City,AL,613.0,1000,4006.84,613.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,890.0,0.0,0.0,0.0,890.0
881892,2019,Elmore County School District,AL,11417.0,2250,12974.1,9704.45,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,0.0,2.0,5000.0,5000.0
881897,2019,Enterprise City School District,AL,7052.0,3000,8734.96,5994.2,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881902,2019,Escambia County School District,AL,4151.0,2000,4428.09,3528.35,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881907,2019,Etowah County School District,AL,8764.0,2000,10830.13,6134.8,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881920,2019,Eufaula City Schools,AL,3949.0,2000,2926.16,3949.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
881925,2019,Fairfield City School District,AL,1740.0,1000,3985.09,1740.0,True,True,ALABAMA DEPARTMENT OF EDUCATION,AL,True,0.0,2500.0,0.0,0.0,2500.0
