,id,sample_districts,total_districts,sample_students,total_students
0,1. All Paying < $2500,1846,1948.95812888452731435796,3699891,3879004.1769574200511614
1,2. Not Meeting 1Mbps,898,948.08472358521426234748,2236334,2344595.8075716000857036
2,3. Would meet w 1gbps,859,906.90955184821720641034,411542,431464.9099104299458268
3,4. Paying > $1000,1019,1075.83333333333333333194,2453954,2572750.8772721598458516
4,"5. Not Meeting, would meet w 1gbps, and paying > $1000",408,430.75564278704612365008,202898,212720.3718964441421492
