,category_of_spend,commitment_amount_request
0,Special Construction,155108289.38
1,Internet,461794021.7800497633710167442421744688
2,Other,880277645.9927812929814296163771465312
3,WAN,602257617.577168943647553639380679
4,Cat 2,828579950.21
