,funding_year,categoy,pre_discount_eligible_amount,commitment_amount_request
0,2018,Other,912660567.15385903362770412824065432,734609089.0270945119301546345109996522
1,2018,WAN,864878748.55429171334250119569668659,662677914.386288665927872760434125931
2,2019,C2,1166486981.73,828579950.21
3,2019,Internet,605954261.85449100763889840395810840,461794021.7800497633710167442421744688
4,2019,Other,1307186976.62860983303372939040049160,1035385935.3727812929814296163771465312
5,2019,WAN,782769728.6368991593273722056414,602257617.577168943647553639380679
6,2018,C2,745699545.97,522586667.60
7,2018,Voice,222223885.98,22192182.30
8,2018,Internet,673175502.62184925302979467606265909,505819020.5666168221419726050548744168
