,id,sample_districts,total_districts,sample_students,total_students
0,1. All not in state network,9851,10400.42607131174353940426,35524696,37244460.4906313597513584
1,2. Meeting 1Mbps,3674,3878.91233235197906443724,9512327,9972822.4873610721513158
2,3. Not Meeting 1Mbps,6177,6521.51373895976447496702,26012369,27271638.0032702876000426
3,4. Would meet w 1gbps,2048,2162.22440300948642459648,946915,992755.5271827292770910
4,5. Paying > $1000,1343,1417.90399084069349034818,695357,729019.5055682939671778
5,6. Would meet w 10gps only,3764,3973.93195943735688583064,12335448,12932611.8841449797454192
6,7. Paying > $2500,1797,1897.22522080471050048822,7402608,7760971.1616851451380832
