,district_id,state_code,size,locale,num_students,cost_18,cost_19,bw_per_student,pct_bwps_increase,state_network_natl_analysis,cost_diff,cost_diff_per_student
0,881456,CA,Small,Rural,240,2776.53566285565427995778320000000000,4335.40088649175086145564100000000000,4583.3333333333333333,4.8437500000000000,False,1558.86522363609658149785780000000000,6.49527176515040242290774083333333
1,881473,AZ,Tiny,Rural,82,5060.00000000000000000000,3700.00000000000000000000,1219.5121951219512195,2.9837398373983740,False,-1360.00000000000000000000,-16.58536585365853658537
2,881480,AZ,Small,Rural,478,1987.7900000000000000000000,1300.00000000000000000000,1046.0251046025104603,12.5983263598326360,False,-687.7900000000000000000000,-1.4388912133891213389121
3,881597,CA,Medium,Town,2325,2298.3407801767523027003952,3800.00000000000000000000,4301.0752688172043011,9.0000000000000000,False,1501.6592198232476972996048,0.6458749332573108375482
4,881642,AZ,Small,Town,1716,6743.70134083044982695500,3719.33734134936539743935,1165.5011655011655012,1.0268065268065268,False,-3024.36399948108442951565,-1.76244988314748509879
5,881688,AL,Small,Rural,847,2629.6500000000000000000000,4060.4600000000000000000000,1180.6375442739079103,2.6458087367178276,True,1430.8100000000000000000000,1.6892680047225501770956
6,881751,CA,Small,Town,1825,2363.49015363489459058121900000000000,1971.24106097451106001742080000000000,1095.8904109589041096,0.95945205479452054785,False,-392.24909266038353056379820000000000,-0.21493100967692248250071134246575
7,881773,CA,Medium,Town,1845,5353.4402869253677628290797,5467.6763738083288119626611,1084.0108401084010840,1.0021680216802168,False,114.2360868829610491335814,0.0619165782563474521049
8,881775,CO,Small,Rural,1670,3642.00000000000000000000,6084.00000000000000000000,1796.4071856287425150,4.5829211142931528,False,2442.00000000000000000000,1.46227544910179640719
9,881824,AL,Small,Rural,980,3152.6100000000000000000000,3985.0900000000000000000000,1020.4081632653061224,1.4020408163265306,True,832.4800000000000000000000,0.8494693877551020408163
10,881837,CO,Tiny,Rural,65,624.9500000000000000000000,994.9500000000000000000000,1538.4615384615384615,2.0384615384615385,False,370.0000000000000000000000,5.6923076923076923076923
11,881883,CO,Small,Rural,442,796.00000000000000000000,1050.00000000000000000000,2262.4434389140271493,9.3619909502262443,False,254.00000000000000000000,0.57466063348416289593
12,881886,AL,Small,Rural,613,3444.8900000000000000000000,4006.8400000000000000000000,1631.3213703099510604,1.0946166394779772,True,561.9500000000000000000000,0.9167210440456769983687
13,881938,CO,Medium,Town,2467,1693.300000000000000000000,2290.00000000000000000000,912.0389136603161735,0.98378597486826104592,False,596.700000000000000000000,0.241872719902715849210
14,881961,CO,Small,Rural,437,1800.00000000000000000000,1840.00000000000000000000,1372.9977116704805492,1.0137299771167048,False,40.00000000000000000000,0.09153318077803203661
15,881962,AL,Small,Rural,733,4412.9300000000000000000000,4060.4600000000000000000000,1364.2564802182810368,0.73715325147794452008,True,-352.4700000000000000000000,-0.4808594815825375170532
16,882030,CO,Small,Rural,192,900.00000000000000000000,900.00000000000000000000,1041.6666666666666667,0.59374999999999999995,False,0E-20,0E-20
17,882036,AL,Small,Town,886,3674.5900000000000000000000,4029.400000000000000000000,1128.6681715575620767,0.99322799097065462762,True,354.8100000000000000000000,0.4004627539503386004515
18,882052,CO,Small,Rural,231,1500.00000000000000000000,3400.00000000000000000000,4329.0043290043290043,3.8917748917748918,False,1900.00000000000000000000,8.22510822510822510823
19,882060,CO,Small,Rural,213,840.00000000000000000000,1050.00000000000000000000,2347.4178403755868545,1.6525821596244131,False,210.00000000000000000000,0.98591549295774647887
20,882075,CO,Medium,Suburban,2554,3884.700000000000000000000,4000.00000000000000000000,1957.7133907595927956,6.6938136256851997,False,115.300000000000000000000,0.045144870790916209867
21,882078,AL,Medium,Town,2023,3234.3500000000000000000000,4050.00000000000000000000,2471.5768660405338606,7.6424155004335389,True,815.6500000000000000000000,0.4031883341571922886802
22,882088,AL,Small,Rural,1048,3749.5500000000000000000000,7516.3700000000000000000000,1431.2977099236641221,0.89885496183206106875,True,3766.8200000000000000000000,3.5942938931297709923664
23,882144,CO,Medium,Rural,2004,4810.9200000000000000000000,5950.00000000000000000000,998.0039920159680639,0.28942115768463073858,False,1139.0800000000000000000000,0.5684031936127744510978
24,882149,CO,Small,Rural,435,2000.00000000000000000000,2000.00000000000000000000,1149.4252873563218391,1.8045977011494253,False,0E-20,0E-20
25,882152,AL,Small,Rural,1492,7426.7400000000000000000000,12871.0900000000000000000000,1005.3619302949061662,1.00000000000000000000,True,5444.3500000000000000000000,3.6490281501340482573727
26,882195,CO,Small,Rural,270,700.00000000000000000000,1050.00000000000000000000,3703.7037037037037037,9.1111111111111111,False,350.00000000000000000000,1.29629629629629629630
27,882219,CO,Small,Rural,416,1376.9400000000000000000000,1800.00000000000000000000,1201.9230769230769231,4.2884615384615385,False,423.0600000000000000000000,1.0169711538461538461538
28,882307,AL,Small,Rural,1849,11891.0800000000000000000000,9840.2500000000000000000000,1081.6657652785289346,0.31097890751757706875,True,-2050.8300000000000000000000,-1.1091563007030827474310
29,882325,CO,Small,Rural,220,761.00000000000000000000,876.00000000000000000000,1363.6363636363636364,2.0954545454545455,False,115.00000000000000000000,0.52272727272727272727
30,882386,CO,Large,Suburban,14089,5300.00000000000000000000,2880.00000000000000000000,709.7735822272695010,2.2822296354129699,False,-2420.00000000000000000000,-0.17176520689899921925
31,882393,CO,Small,Rural,458,772.00000000000000000000,1350.00000000000000000000,1091.7030567685589520,0.99126637554585152844,False,578.00000000000000000000,1.26200873362445414847
