,newly_meeting_bw,pct_districts,num_districts,pct_students,num_students
0,bigger upgrade,0.78947368421052631579,-3208,0.74357825528258304581,1158372
1,just made to 100 kbps,0.21052631578947368421,-855,0.25642174471741695419,399463
