funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,consortium_affiliation,consortium_member,locale,ulocal,contract_expiring,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2018,TX,969810,179,100.0,2175.0,558.659217877095,179.0,Central Texas Education Consortium | ESC - Region 12,True,Rural,42,True,Deal 1,1.0,150.0,1992.0,1.0,1.0,True,837.9888268156425,50.0,0.5
2018,TX,969823,939,200.0,3200.0,212.99254526091588,939.0,ESC - Region 07,True,Rural,42,False,Deal 1,1.0,350.0,2900.0,1.0,1.0,True,372.7369542066028,150.0,0.75
2018,TX,969827,192,50.0,1103.89,260.4166666666667,192.0,ESC - Region 17 | Patton Springs School District,True,Rural,43,True,Deal 1,1.0,100.0,1050.0,1.0,1.0,True,520.8333333333334,50.0,1.0
2018,TX,969838,1193,300.0,1611.0,251.46689019279128,1193.0,ESC - Region 11,True,Rural,42,True,Deal 1,1.0,500.0,1391.0,1.0,1.0,True,419.11148365465215,200.0,0.6666666666666666
2018,TX,969845,2261,500.0,1974.7679275230105,221.14108801415304,2261.0,ESC - Region 20,True,Town,33,True,Deal 1,2.0,2060.0,1930.0,2.0,1.0,True,911.1012826183105,1560.0,3.12
2019,TX,969856,25290,5000.0,6500.0,197.70660340055358,17703.0,,False,Suburban,21,True,Deal 1,1.0,10000.0,6500.0,1.0,1.0,True,395.41320680110715,5000.0,1.0
2018,TX,969860,4637,1000.0,2294.4249800637767,215.65667457407807,3941.45,ESC - Region 07,True,Urban,13,False,Deal 4,2.0,1050.0,2143.0,2.0,1.0,True,226.43950830278197,50.0,0.05
2018,TX,969869,3227,1000.0,2520.9,309.88534242330337,3227.0,ESC - Region 20,True,Town,32,True,Deal 1,2.0,1100.0,2307.0,2.0,1.0,True,340.8738766656337,100.0,0.1
2018,TX,969875,8615,500.0,3950.911408938848,58.03830528148578,7322.75,,False,Urban,13,True,Deal 2,1.0,2000.0,3438.0,1.0,1.0,True,232.15322112594313,1500.0,3.0
2019,TX,969875,9097,750.0,1700.0,82.44476200945367,7732.45,,False,Urban,13,False,Deal 1,1.0,1000.0,1344.0,1.0,1.0,True,109.92634934593822,250.0,0.3333333333333333
2018,TX,969876,5062,400.0,1895.0,79.02015013828526,4302.7,,False,Suburban,22,True,Deal 2,1.0,2000.0,1720.0,1.0,1.0,True,395.1007506914263,1600.0,4.0
2018,TX,969878,1735,1000.0,2631.53,576.3688760806916,1735.0,ESC - Region 20,True,Town,32,False,Deal 1,2.0,1100.0,2307.0,2.0,1.0,True,634.0057636887608,100.0,0.1
2018,TX,969891,1243,500.0,11387.322877234083,402.2526146419952,1243.0,ESC - Region 18,True,Town,33,True,Deal 1,3.0,1200.0,10600.0,2.0,1.0,True,965.4062751407885,700.0,1.4
2018,TX,969893,111,50.0,1691.4,450.45045045045043,111.0,Central Texas Education Consortium | ESC - Region 12,True,Rural,43,True,Deal 1,1.0,100.0,997.0,1.0,1.0,True,900.9009009009009,50.0,1.0
2018,TX,969918,5839,1000.0,3148.33,171.26220243192327,4963.15,ESC - Region 10,True,Suburban,21,False,Deal 2,1.0,4000.0,3050.0,1.0,1.0,True,685.0488097276931,3000.0,3.0
2018,TX,969919,1133,300.0,3020.0,264.783759929391,1133.0,,False,Rural,42,False,Deal 1,1.0,1000.0,2070.0,1.0,1.0,True,882.61253309797,700.0,2.3333333333333335
2018,TX,969923,1357,500.0,2278.25,368.45983787767136,1153.45,,False,Rural,42,False,Deal 1,2.0,1050.0,2143.0,2.0,1.0,True,773.7656595431098,550.0,1.1
2018,TX,969958,2429,1000.0,2650.0,411.6920543433512,2429.0,,False,Rural,41,False,Deal 2,4.0,2300.0,2599.0,2.0,1.0,True,946.8917249897077,1300.0,1.3
2018,TX,969980,3881,400.0,1850.0,103.0662200463798,3298.85,,False,Suburban,21,True,Deal 2,1.0,2000.0,1720.0,1.0,1.0,True,515.331100231899,1600.0,4.0
2018,TX,970006,2837,500.0,1790.94,176.24250969333804,2837.0,,False,Rural,41,False,Deal 2,1.0,1000.0,1344.0,1.0,1.0,True,352.4850193866761,500.0,1.0
2018,TX,970008,2745,600.0,2859.3795493368702,218.5792349726776,2333.25,ESC - Region 17,True,Town,33,True,Deal 2,2.0,2000.0,2688.0,1.0,1.0,True,728.5974499089253,1400.0,2.3333333333333335
2018,TX,970009,589,200.0,1795.5277794387675,339.5585738539898,589.0,,False,Rural,43,True,Deal 1,1.0,400.0,1600.0,1.0,1.0,True,679.1171477079796,200.0,1.0
2019,TX,970009,595,200.0,1296.25,336.1344537815126,595.0,,False,Rural,43,False,Deal 1,1.0,500.0,1258.0,1.0,1.0,True,840.3361344537815,300.0,1.5
2018,TX,970014,10074,5000.0,4649.0,496.32717887631526,8562.9,ESC - Region 01,True,Urban,13,True,Deal 1,1.0,6000.0,4497.0,1.0,1.0,True,595.5926146515783,1000.0,0.2
2018,TX,970040,9107,1000.0,3648.5414046669866,109.80564401010211,7740.95,ESC - Region 20,True,Urban,11,True,Deal 3,2.0,2050.0,3649.0,2.0,1.0,True,225.10157022070933,1050.0,1.05
2019,TX,970041,47478,10000.0,6511.67,210.62386789671007,33234.6,,False,Urban,11,True,Deal 1,2.0,12000.0,6471.0,2.0,1.0,True,252.74864147605206,2000.0,0.2
2018,TX,970047,14302,1000.0,6270.22,69.92029086841,10011.4,ESC - Region 20,True,Rural,41,False,Deal 1,2.0,6000.0,5855.0,2.0,1.0,True,419.5217452104601,5000.0,5.0
2018,TX,970050,4016,1000.0,3500.0,249.003984063745,4016.0,,False,Rural,41,True,Deal 1,1.0,2000.0,3438.0,1.0,1.0,True,498.00796812749,1000.0,1.0
